54,"select #, p.specobjid, p.ra, p.dec, p.z, p.zerr, p.class, dbo.fDistanceArcMinEq (#, #, p.ra, p.dec) as distance from dbo.fGetNearbySpecObjEq (#, #, #) s, specobj p where s.specobjid = p.specobjid and p.zwarning = # and p.class = #"
2019-08-08 13:09:00,1
2019-08-08 13:10:00,2
2019-08-08 13:11:00,1
2019-08-08 13:12:00,5
2019-08-08 13:13:00,5
2019-08-08 13:14:00,4
2019-08-08 13:15:00,5
2019-08-08 13:16:00,3
2019-08-08 13:17:00,5
2019-08-08 13:18:00,5
2019-08-08 13:19:00,4
2019-08-08 13:20:00,4
2019-08-08 13:21:00,4
2019-08-08 13:22:00,6
