5994,"UPDATE FramePathProcessing                         SET processed = #, goodMeltScore = #, fastBottomScore = #, fastTopScore = #, processedPath = &&&, cropPath = &&&                         WHERE Path = &&&"
2019-06-10 12:32:00,11
2019-06-10 12:33:00,26
2019-06-10 12:34:00,23
2019-06-10 12:35:00,24
2019-06-10 12:36:00,23
2019-06-10 12:37:00,23
2019-06-10 12:38:00,24
2019-06-10 12:39:00,24
2019-06-10 12:40:00,23
2019-06-10 12:41:00,24
2019-06-10 12:42:00,23
2019-06-10 12:43:00,24
2019-06-10 12:44:00,23
2019-06-10 12:45:00,24
2019-06-10 12:46:00,24
2019-06-10 12:47:00,24
2019-06-10 12:48:00,24
2019-06-10 12:49:00,24
2019-06-10 12:50:00,24
2019-06-10 12:51:00,23
2019-06-10 12:52:00,23
2019-06-10 12:53:00,24
2019-06-10 12:54:00,23
2019-06-10 12:55:00,23
2019-06-10 12:56:00,24
2019-06-10 12:57:00,24
2019-06-10 12:58:00,24
2019-06-10 12:59:00,23
2019-06-10 13:00:00,17
2019-06-10 13:01:00,24
2019-06-10 13:02:00,23
2019-06-10 13:03:00,23
2019-06-10 13:04:00,24
2019-06-10 13:05:00,24
2019-06-10 13:06:00,20
2019-06-10 13:07:00,23
2019-06-10 13:08:00,24
2019-06-10 13:09:00,24
2019-06-10 13:10:00,23
2019-06-10 13:11:00,25
2019-06-10 13:12:00,23
2019-06-10 13:13:00,24
2019-06-10 13:14:00,24
2019-06-10 13:15:00,24
2019-06-10 13:16:00,24
2019-06-10 13:17:00,24
2019-06-10 13:18:00,22
2019-06-10 13:19:00,24
2019-06-10 13:20:00,24
2019-06-10 13:21:00,24
2019-06-10 13:22:00,23
2019-06-10 13:23:00,25
2019-06-10 13:24:00,24
2019-06-10 13:25:00,23
2019-06-10 13:26:00,25
2019-06-10 13:27:00,9
2019-06-10 13:28:00,28
2019-06-10 13:29:00,28
2019-06-10 13:30:00,26
2019-06-10 13:31:00,13
2019-06-10 13:32:00,9
2019-06-10 13:33:00,27
2019-06-10 13:34:00,30
2019-06-10 13:35:00,28
2019-06-10 13:36:00,29
2019-06-10 13:37:00,27
2019-06-10 13:38:00,29
2019-06-10 13:39:00,26
2019-06-10 13:40:00,24
2019-06-10 13:41:00,25
2019-06-10 13:42:00,24
2019-06-10 13:43:00,24
2019-06-10 13:44:00,23
2019-06-10 13:45:00,23
2019-06-10 13:46:00,23
2019-06-10 13:47:00,8
2019-06-10 13:48:00,28
2019-06-10 13:49:00,28
2019-06-10 13:50:00,27
2019-06-10 13:51:00,26
2019-06-10 13:52:00,26
2019-06-10 13:53:00,24
2019-06-10 13:54:00,24
2019-06-10 13:55:00,24
2019-06-10 13:56:00,24
2019-06-10 13:57:00,23
2019-06-10 13:58:00,24
2019-06-10 13:59:00,24
2019-06-10 14:00:00,16
2019-06-10 14:01:00,23
2019-06-10 14:02:00,23
2019-06-10 14:03:00,23
2019-06-10 14:04:00,22
2019-06-10 14:05:00,24
2019-06-10 14:06:00,24
2019-06-10 14:07:00,23
2019-06-10 14:08:00,24
2019-06-10 14:09:00,24
2019-06-10 14:10:00,23
2019-06-10 14:11:00,23
2019-06-10 14:12:00,25
2019-06-10 14:13:00,24
2019-06-10 14:14:00,24
2019-06-10 14:15:00,24
2019-06-10 14:16:00,23
2019-06-10 14:17:00,24
2019-06-10 14:18:00,23
2019-06-10 14:19:00,24
2019-06-10 14:20:00,24
2019-06-10 14:21:00,24
2019-06-10 14:22:00,23
2019-06-10 14:23:00,24
2019-06-10 14:24:00,24
2019-06-10 14:25:00,24
2019-06-10 14:26:00,24
2019-06-10 14:27:00,23
2019-06-10 14:28:00,24
2019-06-10 14:29:00,24
2019-06-10 14:30:00,24
2019-06-10 14:31:00,24
2019-06-10 14:32:00,24
2019-06-10 14:33:00,24
2019-06-10 14:34:00,23
2019-06-10 14:35:00,24
2019-06-10 14:36:00,24
2019-06-10 14:37:00,24
2019-06-10 14:38:00,24
2019-06-10 14:39:00,24
2019-06-10 14:40:00,22
2019-06-10 14:41:00,25
2019-06-10 14:42:00,23
2019-06-10 14:43:00,24
2019-06-10 14:44:00,24
2019-06-10 14:45:00,23
2019-06-10 14:46:00,23
2019-06-10 14:47:00,23
2019-06-10 14:48:00,24
2019-06-10 14:49:00,23
2019-06-10 14:50:00,23
2019-06-10 14:51:00,24
2019-06-10 14:52:00,23
2019-06-10 14:53:00,23
2019-06-10 14:54:00,24
2019-06-10 14:55:00,23
2019-06-10 14:56:00,23
2019-06-10 14:57:00,24
2019-06-10 14:58:00,23
2019-06-10 14:59:00,23
2019-06-10 15:00:00,16
2019-06-10 15:01:00,24
2019-06-10 15:02:00,22
2019-06-10 15:03:00,23
2019-06-10 15:04:00,23
2019-06-10 15:05:00,23
2019-06-10 15:06:00,23
2019-06-10 15:07:00,23
2019-06-10 15:08:00,24
2019-06-10 15:09:00,23
2019-06-10 15:10:00,24
2019-06-10 15:11:00,24
2019-06-10 15:12:00,23
2019-06-10 15:13:00,24
2019-06-10 15:14:00,24
2019-06-10 15:15:00,24
2019-06-10 15:16:00,24
2019-06-10 15:17:00,24
2019-06-10 15:18:00,23
2019-06-10 15:19:00,24
2019-06-10 15:20:00,24
2019-06-10 15:21:00,24
2019-06-10 15:22:00,23
2019-06-10 15:23:00,24
2019-06-10 15:24:00,6
2019-06-10 15:26:00,11
2019-06-10 15:31:00,23
2019-06-10 15:32:00,23
2019-06-10 15:33:00,24
2019-06-10 15:34:00,23
2019-06-10 15:35:00,24
2019-06-10 15:36:00,23
2019-06-10 15:37:00,24
2019-06-10 15:38:00,25
2019-06-10 15:39:00,23
2019-06-10 15:40:00,25
2019-06-10 15:41:00,22
2019-06-10 15:42:00,23
2019-06-10 15:43:00,24
2019-06-10 15:44:00,23
2019-06-10 15:45:00,24
2019-06-10 15:46:00,23
2019-06-10 15:47:00,3
2019-06-10 15:52:00,11
2019-06-10 15:53:00,23
2019-06-10 15:54:00,24
2019-06-10 15:55:00,22
2019-06-10 15:56:00,22
2019-06-10 15:57:00,23
2019-06-10 15:58:00,23
2019-06-10 15:59:00,23
2019-06-10 16:00:00,14
2019-06-10 16:01:00,24
2019-06-10 16:02:00,24
2019-06-10 16:03:00,23
2019-06-10 16:04:00,23
2019-06-10 16:05:00,24
2019-06-10 16:06:00,23
2019-06-10 16:07:00,24
2019-06-10 16:08:00,23
2019-06-10 16:09:00,23
2019-06-10 16:10:00,24
2019-06-10 16:11:00,23
2019-06-10 16:12:00,24
2019-06-10 16:13:00,24
2019-06-10 16:14:00,23
2019-06-10 16:15:00,23
2019-06-10 16:16:00,23
2019-06-10 16:17:00,23
2019-06-10 16:18:00,23
2019-06-10 16:19:00,24
2019-06-10 16:20:00,24
2019-06-10 16:21:00,23
2019-06-10 16:22:00,24
2019-06-10 16:23:00,23
2019-06-10 16:24:00,24
2019-06-10 16:25:00,23
2019-06-10 16:26:00,24
2019-06-10 16:27:00,23
2019-06-10 16:28:00,23
2019-06-10 16:29:00,24
2019-06-10 16:30:00,23
2019-06-10 16:31:00,24
2019-06-10 16:32:00,24
2019-06-10 16:33:00,23
2019-06-10 16:34:00,23
2019-06-10 16:35:00,24
2019-06-10 16:36:00,23
2019-06-10 16:37:00,23
2019-06-10 16:38:00,23
2019-06-10 16:39:00,24
2019-06-10 16:40:00,23
2019-06-10 16:41:00,24
2019-06-10 16:42:00,23
2019-06-10 16:43:00,24
2019-06-10 16:44:00,23
2019-06-10 16:45:00,24
2019-06-10 16:46:00,23
2019-06-10 16:47:00,24
2019-06-10 16:48:00,24
2019-06-10 16:49:00,23
2019-06-10 16:50:00,25
2019-06-10 16:51:00,24
2019-06-10 16:52:00,26
2019-06-10 16:53:00,24
2019-06-10 16:54:00,25
2019-06-10 16:55:00,26
2019-06-10 16:56:00,24
2019-06-10 16:57:00,26
2019-06-10 16:58:00,25
2019-06-10 16:59:00,9
